No,Kode QR,NIM / NIP,Nama Lengkap,No. HP / WA,Institusi,Pekerjaan,Status,Waktu Pendaftaran,Waktu Hadir
1,HI4KS81FOL,583839:0/,Zulfar,-,Bpt,Praktisi,Peserta (Hadir),2026-09-01 17:08:04,2026-09-01 17:08:20
2,AUX5HEPIWP,19472583839(,Budi akanak,-,Univ lho,Dosen,Peserta (Hadir),2026-09-01 17:07:26,2026-09-01 17:08:11
3,XGXV09Z6O0,19900619585858,Rian,-,Universitas Mulawarman,Dosen,Peserta (Hadir),2026-09-01 17:04:48,2026-09-01 17:05:55
4,FNR54ZVGBH,19900619,Muhammad Zulfariansyah,-,Universitas Mulawarman,Dosen,Pendaftar (Belum Hadir),2026-09-01 17:02:19,-
5,1VWGIMUPRU,L-88301,Rina Kusuma Dewi,-,Yayasan Pendidikan Nusantara,Lainnya,Pendaftar (Belum Hadir),2026-09-01 16:59:38,-
6,BH2NQV3O7B,2210512045,Nadia Putri Maharani,-,Universitas Diponegoro,Mahasiswa,Pendaftar (Belum Hadir),2026-09-01 16:59:38,-
7,MG7U74QYNV,PR-99201,"Kevin Sanjaya, S.T.",-,PT Digital Inovasi Asia,Praktisi,Pendaftar (Belum Hadir),2026-09-01 16:59:38,-
8,CKNPENOLRP,197903152005012002,Prof. Bambang Supriyanto,-,Universitas Gadjah Mada,Dosen,Pendaftar (Belum Hadir),2026-09-01 16:59:38,-
9,TVOFJGCNT0,198501012010121001,"Dr. Siti Rahmawati, M.Kom.",-,Institut Teknologi Bandung,Dosen,Peserta (Hadir),2026-09-01 16:59:38,2026-09-01 16:59:38
10,3K7D4PS9BW,2110511001,Ahmad Fauzi,-,Universitas Indonesia,Mahasiswa,Peserta (Hadir),2026-09-01 16:59:38,2026-09-01 16:59:38
